row	col	g1_height	g1_height_err	g1_center	g1_center_err	g1_sigma	g1_sigma_err	c	c_err	success	chisqr	redchi
0	0	137.97185	1.05359	6563.01940	0.00973	1.42623	0.00880	5.27618	0.12152	True	1.64178	0.07818
0	1	136.99882	0.57534	6563.01811	0.00545	1.44262	0.00500	5.04814	0.06591	True	0.42596	0.02028
0	2	136.38922	1.16945	6563.01955	0.01144	1.45704	0.01052	5.34917	0.13652	True	1.53655	0.07317
0	3	132.23313	1.26276	6563.02145	0.01292	1.50186	0.01189	5.23661	0.14866	True	2.28524	0.10882
0	4	127.51849	0.40542	6563.01775	0.00478	1.54531	0.00437	5.04930	0.05438	True	0.31840	0.01516
0	5	122.07273	0.76679	6563.01506	0.00919	1.60172	0.00855	4.97361	0.10374	True	0.95572	0.04551
0	6	119.57411	0.94137	6563.01318	0.01171	1.61819	0.01108	5.24071	0.12624	True	1.46642	0.06983
0	7	117.21219	0.90650	6563.01673	0.01194	1.63337	0.01117	5.33572	0.12363	True	1.45071	0.06908
0	8	118.02159	0.51060	6563.01701	0.00647	1.62904	0.00605	5.21541	0.06941	True	0.41009	0.01953
0	9	120.57040	0.78456	6563.01868	0.00956	1.60083	0.00882	5.58026	0.10736	True	0.99682	0.04747
1	0	144.53088	0.25546	6563.01826	0.00232	1.45048	0.00215	5.08008	0.02955	True	0.12247	0.00583
1	1	144.69993	0.49598	6563.01745	0.00462	1.45973	0.00427	5.21934	0.05719	True	0.42646	0.02031
1	2	142.44175	0.37790	6563.01850	0.00367	1.48891	0.00335	5.30701	0.04582	True	0.21277	0.01013
1	3	137.57529	0.27570	6563.01761	0.00282	1.54027	0.00260	5.21089	0.03500	True	0.15578	0.00742
1	4	133.19116	0.39234	6563.01794	0.00439	1.59203	0.00409	5.32319	0.05150	True	0.37845	0.01802
1	5	127.23059	0.60792	6563.02089	0.00744	1.65727	0.00701	5.34937	0.08326	True	0.85649	0.04079
1	6	123.93846	0.38744	6563.01623	0.00503	1.68818	0.00469	5.49280	0.05442	True	0.37396	0.01781
1	7	123.01655	0.41467	6563.01747	0.00531	1.68960	0.00504	5.43527	0.05719	True	0.39421	0.01877
1	8	124.51738	0.38413	6563.01994	0.00479	1.66336	0.00449	5.74939	0.05208	True	0.29356	0.01398
1	9	127.82575	0.42827	6563.01773	0.00513	1.63426	0.00483	5.84674	0.05846	True	0.40183	0.01913
2	0	153.21521	0.92152	6563.01933	0.00777	1.46202	0.00720	5.62154	0.10404	True	1.20867	0.05756
2	1	152.82319	0.76371	6563.01797	0.00669	1.47695	0.00610	5.62012	0.08817	True	0.77215	0.03677
2	2	150.75891	0.88207	6563.01717	0.00792	1.50720	0.00720	5.78527	0.10483	True	0.86829	0.04135
2	3	145.55612	0.57203	6563.01735	0.00547	1.56190	0.00508	5.69038	0.07036	True	0.49115	0.02339
2	4	139.97662	0.54501	6563.01885	0.00599	1.62416	0.00554	5.79034	0.07409	True	0.53106	0.02529
2	5	134.21397	0.59913	6563.01788	0.00701	1.68625	0.00655	5.73821	0.07989	True	0.58756	0.02798
2	6	130.51009	0.72948	6563.01922	0.00900	1.72486	0.00847	5.86716	0.10418	True	1.00715	0.04796
2	7	129.35815	0.57775	6563.01352	0.00708	1.73504	0.00666	5.94475	0.07685	True	0.59042	0.02812
2	8	130.79049	0.42934	6563.01393	0.00493	1.69713	0.00466	6.13758	0.05678	True	0.28856	0.01374
2	9	133.32622	0.49594	6563.01785	0.00576	1.66509	0.00538	6.44343	0.06578	True	0.43047	0.02050
3	0	163.98785	0.57768	6563.01847	0.00474	1.47308	0.00434	5.91237	0.06672	True	0.53865	0.02565
3	1	163.16061	0.88542	6563.01591	0.00740	1.49786	0.00673	5.92635	0.10527	True	1.21134	0.05768
3	2	160.71184	1.27724	6563.01839	0.01081	1.53413	0.00979	6.34089	0.15040	True	2.04556	0.09741
3	3	155.57666	0.37460	6563.01871	0.00349	1.59004	0.00322	6.04344	0.04547	True	0.24274	0.01156
3	4	149.84668	0.54760	6563.01783	0.00576	1.64718	0.00528	6.23686	0.07234	True	0.59493	0.02833
3	5	144.22756	0.69101	6563.01858	0.00776	1.70748	0.00727	6.10917	0.09457	True	0.87518	0.04168
3	6	140.26029	0.57738	6563.01745	0.00692	1.74557	0.00641	6.24356	0.08373	True	0.70974	0.03380
3	7	137.58844	0.56150	6563.01287	0.00695	1.75536	0.00654	6.43796	0.08153	True	0.65627	0.03125
3	8	138.49391	0.94616	6563.01988	0.01105	1.71646	0.01037	7.00348	0.13307	True	1.59297	0.07586
3	9	141.82479	0.66862	6563.01695	0.00721	1.67382	0.00673	7.37497	0.08976	True	0.82822	0.03944
4	0	174.74467	0.93529	6563.01703	0.00718	1.48244	0.00658	6.18830	0.10378	True	1.29784	0.06180
4	1	174.21923	0.78964	6563.01789	0.00631	1.51208	0.00572	6.20284	0.09092	True	0.91255	0.04345
4	2	172.26455	0.61671	6563.01775	0.00495	1.54636	0.00448	6.48398	0.07241	True	0.45184	0.02152
4	3	168.50418	0.57076	6563.01651	0.00492	1.59454	0.00452	6.47750	0.06869	True	0.55026	0.02620
4	4	162.72298	0.59314	6563.01589	0.00573	1.65280	0.00525	6.54717	0.07627	True	0.64786	0.03085
